"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6YTITLT6","preprint","2025","Alizadeh, Meysam; Samei, Zeynab; Stetsenko, Daria; Gilardi, Fabrizio","Simple Prompt Injection Attacks Can Leak Personal Data Observed by LLM Agents During Task Execution","","","","10.48550/arXiv.2506.01055","http://arxiv.org/abs/2506.01055","Previous benchmarks on prompt injection in large language models (LLMs) have primarily focused on generic tasks and attacks, offering limited insights into more complex threats like data exfiltration. This paper examines how prompt injection can cause tool-calling agents to leak personal data observed during task execution. Using a fictitious banking agent, we develop data flow-based attacks and integrate them into AgentDojo, a recent benchmark for agentic security. To enhance its scope, we also create a richer synthetic dataset of human-AI banking conversations. In 16 user tasks from AgentDojo, LLMs show a 15-50 percentage point drop in utility under attack, with average attack success rates (ASR) around 20 percent; some defenses reduce ASR to zero. Most LLMs, even when successfully tricked by the attack, avoid leaking highly sensitive data like passwords, likely due to safety alignments, but they remain vulnerable to disclosing other personal data. The likelihood of password leakage increases when a password is requested along with one or two additional personal details. In an extended evaluation across 48 tasks, the average ASR is around 15 percent, with no built-in AgentDojo defense fully preventing leakage. Tasks involving data extraction or authorization workflows, which closely resemble the structure of exfiltration attacks, exhibit the highest ASRs, highlighting the interaction between task type, agent performance, and defense efficacy.","2025-06-01","2026-01-17 20:45:03","2026-01-17 21:19:06","2026-01-17 20:44:48","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2506.01055 [cs]","Comment: 25 pages, 18 figures, NeurIPS formatting style; Comment: 25 pages, 18 figures, NeurIPS formatting style","/home/arthurbrito/Zotero/storage/PP86C6HK/Alizadeh et al. - 2025 - Simple Prompt Injection Attacks Can Leak Personal Data Observed by LLM Agents During Task Execution.pdf","","","Computer Science - Computation and Language; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2506.01055","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JBEFAKAH","preprint","2025","Gandhi, Parth Atulbhai; Shukla, Akansha; Tayouri, David; Ifland, Beni; Elovici, Yuval; Puzis, Rami; Shabtai, Asaf","ATAG: AI-Agent Application Threat Assessment with Attack Graphs","","","","10.48550/arXiv.2506.02859","http://arxiv.org/abs/2506.02859","Evaluating the security of multi-agent systems (MASs) powered by large language models (LLMs) is challenging, primarily because of the systems' complex internal dynamics and the evolving nature of LLM vulnerabilities. Traditional attack graph (AG) methods often lack the specific capabilities to model attacks on LLMs. This paper introduces AI-agent application Threat assessment with Attack Graphs (ATAG), a novel framework designed to systematically analyze the security risks associated with AI-agent applications. ATAG extends the MulVAL logic-based AG generation tool with custom facts and interaction rules to accurately represent AI-agent topologies, vulnerabilities, and attack scenarios. As part of this research, we also created the LLM vulnerability database (LVD) to initiate the process of standardizing LLM vulnerabilities documentation. To demonstrate ATAG's efficacy, we applied it to two multi-agent applications. Our case studies demonstrated the framework's ability to model and generate AGs for sophisticated, multi-step attack scenarios exploiting vulnerabilities such as prompt injection, excessive agency, sensitive information disclosure, and insecure output handling across interconnected agents. ATAG is an important step toward a robust methodology and toolset to help understand, visualize, and prioritize complex attack paths in multi-agent AI systems (MAASs). It facilitates proactive identification and mitigation of AI-agent threats in multi-agent applications.","2025-06-03","2026-01-17 20:45:03","2026-01-17 20:45:03","2026-01-17 20:44:48","","","","","","","ATAG","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2506.02859 [cs]","","/home/arthurbrito/Zotero/storage/8MCS2GQY/Gandhi et al. - 2025 - ATAG AI-Agent Application Threat Assessment with Attack Graphs.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2506.02859","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8S2QXLX4","preprint","2025","Panebianco, Francesco; Bonfanti, Stefano; Trovò, Francesco; Carminati, Michele","LeakSealer: A Semisupervised Defense for LLMs Against Prompt Injection and Leakage Attacks","","","","10.48550/arXiv.2508.00602","http://arxiv.org/abs/2508.00602","The generalization capabilities of Large Language Models (LLMs) have led to their widespread deployment across various applications. However, this increased adoption has introduced several security threats, notably in the forms of jailbreaking and data leakage attacks. Additionally, Retrieval Augmented Generation (RAG), while enhancing context-awareness in LLM responses, has inadvertently introduced vulnerabilities that can result in the leakage of sensitive information. Our contributions are twofold. First, we introduce a methodology to analyze historical interaction data from an LLM system, enabling the generation of usage maps categorized by topics (including adversarial interactions). This approach further provides forensic insights for tracking the evolution of jailbreaking attack patterns. Second, we propose LeakSealer, a model-agnostic framework that combines static analysis for forensic insights with dynamic defenses in a Human-In-The-Loop (HITL) pipeline. This technique identifies topic groups and detects anomalous patterns, allowing for proactive defense mechanisms. We empirically evaluate LeakSealer under two scenarios: (1) jailbreak attempts, employing a public benchmark dataset, and (2) PII leakage, supported by a curated dataset of labeled LLM interactions. In the static setting, LeakSealer achieves the highest precision and recall on the ToxicChat dataset when identifying prompt injection. In the dynamic setting, PII leakage detection achieves an AUPRC of $0.97$, significantly outperforming baselines such as Llama Guard.","2025-08-01","2026-01-17 20:45:03","2026-01-17 20:45:03","2026-01-17 20:44:48","","","","","","","LeakSealer","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2508.00602 [cs]","Comment: 22 pages, preprint","/home/arthurbrito/Zotero/storage/SPYTID8W/Panebianco et al. - 2025 - LeakSealer A Semisupervised Defense for LLMs Against Prompt Injection and Leakage Attacks.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Cryptography and Security; Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2508.00602","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MSVHVM8W","preprint","2025","Nouailles, Rafaël","Evaluation empirique de la sécurisation et de l'alignement de ChatGPT et Gemini: analyse comparative des vulnérabilités par expérimentations de jailbreaks","","","","10.48550/arXiv.2506.10029","http://arxiv.org/abs/2506.10029","Large Language models (LLMs) are transforming digital usage, particularly in text generation, image creation, information retrieval and code development. ChatGPT, launched by OpenAI in November 2022, quickly became a reference, prompting the emergence of competitors such as Google's Gemini. However, these technological advances raise new cybersecurity challenges, including prompt injection attacks, the circumvention of regulatory measures (jailbreaking), the spread of misinformation (hallucinations) and risks associated with deep fakes. This paper presents a comparative analysis of the security and alignment levels of ChatGPT and Gemini, as well as a taxonomy of jailbreak techniques associated with experiments.","2025-06-10","2026-01-17 20:45:03","2026-01-17 20:45:03","2026-01-17 20:44:48","","","","","","","Evaluation empirique de la sécurisation et de l'alignement de ChatGPT et Gemini","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2506.10029 [cs]","Comment: in French language","/home/arthurbrito/Zotero/storage/J44VA4EG/Nouailles - 2025 - Evaluation empirique de la sécurisation et de l'alignement de ChatGPT et Gemini analyse comparative.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Computation and Language; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2506.10029","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5RNM2I4U","preprint","2025","Abdelnabi, Sahar; Fay, Aideen; Salem, Ahmed; Zverev, Egor; Liao, Kai-Chieh; Liu, Chi-Huang; Kuo, Chun-Chih; Weigend, Jannis; Manlangit, Danyael; Apostolov, Alex; Umair, Haris; Donato, João; Kawakita, Masayuki; Mahboob, Athar; Bach, Tran Huu; Chiang, Tsun-Han; Cho, Myeongjin; Choi, Hajin; Kim, Byeonghyeon; Lee, Hyeonjin; Pannell, Benjamin; McCauley, Conor; Russinovich, Mark; Paverd, Andrew; Cherubin, Giovanni","LLMail-Inject: A Dataset from a Realistic Adaptive Prompt Injection Challenge","","","","10.48550/arXiv.2506.09956","http://arxiv.org/abs/2506.09956","Indirect Prompt Injection attacks exploit the inherent limitation of Large Language Models (LLMs) to distinguish between instructions and data in their inputs. Despite numerous defense proposals, the systematic evaluation against adaptive adversaries remains limited, even when successful attacks can have wide security and privacy implications, and many real-world LLM-based applications remain vulnerable. We present the results of LLMail-Inject, a public challenge simulating a realistic scenario in which participants adaptively attempted to inject malicious instructions into emails in order to trigger unauthorized tool calls in an LLM-based email assistant. The challenge spanned multiple defense strategies, LLM architectures, and retrieval configurations, resulting in a dataset of 208,095 unique attack submissions from 839 participants. We release the challenge code, the full dataset of submissions, and our analysis demonstrating how this data can provide new insights into the instruction-data separation problem. We hope this will serve as a foundation for future research towards practical structural solutions to prompt injection.","2025-06-11","2026-01-17 20:45:03","2026-01-17 20:45:03","2026-01-17 20:44:48","","","","","","","LLMail-Inject","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2506.09956 [cs]","Comment: Dataset at: https://huggingface.co/datasets/microsoft/llmail-inject-challenge","","","","Computer Science - Artificial Intelligence; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2506.09956","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KNX7LJRX","preprint","2025","Ward, Chris M.; Harguess, Josh","Adversarial Threat Vectors and Risk Mitigation for Retrieval-Augmented Generation Systems","","","","10.1117/12.3055931","http://arxiv.org/abs/2506.00281","Retrieval-Augmented Generation (RAG) systems, which integrate Large Language Models (LLMs) with external knowledge sources, are vulnerable to a range of adversarial attack vectors. This paper examines the importance of RAG systems through recent industry adoption trends and identifies the prominent attack vectors for RAG: prompt injection, data poisoning, and adversarial query manipulation. We analyze these threats under risk management lens, and propose robust prioritized control list that includes risk-mitigating actions like input validation, adversarial training, and real-time monitoring.","2025-05-30","2026-01-17 20:45:03","2026-01-17 20:45:03","2026-01-17 20:45:03","","","","","","","","","","","","","","","","","","","arXiv.org","","arXiv:2506.00281 [cs]","Comment: SPIE DCS: Proceedings Volume Assurance and Security for AI-enabled Systems 2025","","","","Computer Science - Artificial Intelligence; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TUGN9HJS","preprint","2025","Feng, Yang; Pan, Xudong","StruPhantom: Evolutionary Injection Attacks on Black-Box Tabular Agents Powered by Large Language Models","","","","10.48550/arXiv.2504.09841","http://arxiv.org/abs/2504.09841","The proliferation of autonomous agents powered by large language models (LLMs) has revolutionized popular business applications dealing with tabular data, i.e., tabular agents. Although LLMs are observed to be vulnerable against prompt injection attacks from external data sources, tabular agents impose strict data formats and predefined rules on the attacker's payload, which are ineffective unless the agent navigates multiple layers of structural data to incorporate the payload. To address the challenge, we present a novel attack termed StruPhantom which specifically targets black-box LLM-powered tabular agents. Our attack designs an evolutionary optimization procedure which continually refines attack payloads via the proposed constrained Monte Carlo Tree Search augmented by an off-topic evaluator. StruPhantom helps systematically explore and exploit the weaknesses of target applications to achieve goal hijacking. Our evaluation validates the effectiveness of StruPhantom across various LLM-based agents, including those on real-world platforms, and attack scenarios. Our attack achieves over 50% higher success rates than baselines in enforcing the application's response to contain phishing links or malicious codes.","2025-04-14","2026-01-17 20:45:30","2026-01-17 20:45:30","2026-01-17 20:45:30","","","","","","","StruPhantom","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2504.09841 [cs]","Comment: Work in Progress","/home/arthurbrito/Zotero/storage/LU89PLFW/Feng e Pan - 2025 - StruPhantom Evolutionary Injection Attacks on Black-Box Tabular Agents Powered by Large Language Mo.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2504.09841","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JZ4PNY2E","preprint","2025","Zhang, Tao; Li, Xiangtai; Huang, Zilong; Li, Yanwei; Lei, Weixian; Deng, Xueqing; Chen, Shihao; Ji, Shunping; Feng, Jiashi","Pixel-SAIL: Single Transformer For Pixel-Grounded Understanding","","","","10.48550/arXiv.2504.10465","http://arxiv.org/abs/2504.10465","Multimodal Large Language Models (MLLMs) achieve remarkable performance for fine-grained pixel-level understanding tasks. However, all the works rely heavily on extra components, such as vision encoder (CLIP), segmentation experts, leading to high system complexity and limiting model scaling. In this work, our goal is to explore a highly simplified MLLM without introducing extra components. Our work is motivated by the recent works on Single trAnsformer as a unified vIsion-Language Model (SAIL) design, where these works jointly learn vision tokens and text tokens in transformers. We present Pixel-SAIL, a single transformer for pixel-wise MLLM tasks. In particular, we present three technical improvements on the plain baseline. First, we design a learnable upsampling module to refine visual token features. Secondly, we propose a novel visual prompt injection strategy to enable the single transformer to understand visual prompt inputs and benefit from the early fusion of visual prompt embeddings and vision tokens. Thirdly, we introduce a vision expert distillation strategy to efficiently enhance the single transformer's fine-grained feature extraction capability. In addition, we have collected a comprehensive pixel understanding benchmark (PerBench), using a manual check. It includes three tasks: detailed object description, visual prompt-based question answering, and visual-text referring segmentation. Extensive experiments on four referring segmentation benchmarks, one visual prompt benchmark, and our PerBench show that our Pixel-SAIL achieves comparable or even better results with a much simpler pipeline. Code and model will be released at https://github.com/magic-research/Sa2VA.","2025-04-14","2026-01-17 20:45:30","2026-01-17 20:45:30","2026-01-17 20:45:30","","","","","","","Pixel-SAIL","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2504.10465 [cs]","","/home/arthurbrito/Zotero/storage/BGYRLC89/Zhang et al. - 2025 - Pixel-SAIL Single Transformer For Pixel-Grounded Understanding.pdf","","","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:2504.10465","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TDE4ELY3","preprint","2025","Li, Evan; Mallick, Tushin; Rose, Evan; Robertson, William; Oprea, Alina; Nita-Rotaru, Cristina","ACE: A Security Architecture for LLM-Integrated App Systems","","","","10.48550/arXiv.2504.20984","http://arxiv.org/abs/2504.20984","LLM-integrated app systems extend the utility of Large Language Models (LLMs) with third-party apps that are invoked by a system LLM using interleaved planning and execution phases to answer user queries. These systems introduce new attack vectors where malicious apps can cause integrity violation of planning or execution, availability breakdown, or privacy compromise during execution. In this work, we identify new attacks impacting the integrity of planning, as well as the integrity and availability of execution in LLM-integrated apps, and demonstrate them against IsolateGPT, a recent solution designed to mitigate attacks from malicious apps. We propose Abstract-Concrete-Execute (ACE), a new secure architecture for LLM-integrated app systems that provides security guarantees for system planning and execution. Specifically, ACE decouples planning into two phases by first creating an abstract execution plan using only trusted information, and then mapping the abstract plan to a concrete plan using installed system apps. We verify that the plans generated by our system satisfy user-specified secure information flow constraints via static analysis on the structured plan output. During execution, ACE enforces data and capability barriers between apps, and ensures that the execution is conducted according to the trusted abstract plan. We show experimentally that ACE is secure against attacks from the InjecAgent and Agent Security Bench benchmarks for indirect prompt injection, and our newly introduced attacks. We also evaluate the utility of ACE in realistic environments, using the Tool Usage suite from the LangChain benchmark. Our architecture represents a significant advancement towards hardening LLM-based systems using system security principles.","2025-09-10","2026-01-17 20:45:30","2026-01-17 20:45:30","2026-01-17 20:45:30","","","","","","","ACE","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2504.20984 [cs]","Comment: 25 pages, 13 figures, 8 tables; accepted by Network and Distributed System Security Symposium (NDSS) 2026","/home/arthurbrito/Zotero/storage/6592IBFR/Li et al. - 2025 - ACE A Security Architecture for LLM-Integrated App Systems.pdf","","","Computer Science - Cryptography and Security; Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2504.20984","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8A8Y89MA","preprint","2025","Pan, Jonathan; Wong, Swee Liang; Yuan, Yidi; Chia, Xin Wei","Prompt Inject Detection with Generative Explanation as an Investigative Tool","","","","10.48550/arXiv.2502.11006","http://arxiv.org/abs/2502.11006","Large Language Models (LLMs) are vulnerable to adversarial prompt based injects. These injects could jailbreak or exploit vulnerabilities within these models with explicit prompt requests leading to undesired responses. In the context of investigating prompt injects, the challenge is the sheer volume of input prompts involved that are likely to be largely benign. This investigative challenge is further complicated by the semantics and subjectivity of the input prompts involved in the LLM conversation with its user and the context of the environment to which the conversation is being carried out. Hence, the challenge for AI security investigators would be two-fold. The first is to identify adversarial prompt injects and then to assess whether the input prompt is contextually benign or adversarial. For the first step, this could be done using existing AI security solutions like guardrails to detect and protect the LLMs. Guardrails have been developed using a variety of approaches. A popular approach is to use signature based. Another popular approach to develop AI models to classify such prompts include the use of NLP based models like a language model. However, in the context of conducting an AI security investigation of prompt injects, these guardrails lack the ability to aid investigators in triaging or assessing the identified input prompts. In this applied research exploration, we explore the use of a text generation capabilities of LLM to detect prompt injects and generate explanation for its detections to aid AI security investigators in assessing and triaging of such prompt inject detections. The practical benefit of such a tool is to ease the task of conducting investigation into prompt injects.","2025-02-16","2026-01-17 20:45:30","2026-01-17 20:45:30","2026-01-17 20:45:30","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2502.11006 [cs]","Comment: 5 pages, 4 tables, 3 diagrams","/home/arthurbrito/Zotero/storage/X9GKUMQC/Pan et al. - 2025 - Prompt Inject Detection with Generative Explanation as an Investigative Tool.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2502.11006","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HTBLMPL6","preprint","2025","Wang, Wenxiao; Hosseini, Parsa; Feizi, Soheil","Chain-of-Defensive-Thought: Structured Reasoning Elicits Robustness in Large Language Models against Reference Corruption","","","","10.48550/arXiv.2504.20769","http://arxiv.org/abs/2504.20769","Chain-of-thought prompting has demonstrated great success in facilitating the reasoning abilities of large language models. In this work, we explore how these enhanced reasoning abilities can be exploited to improve the robustness of large language models in tasks that are not necessarily reasoning-focused. In particular, we show how a wide range of large language models exhibit significantly improved robustness against reference corruption using a simple method called chain-of-defensive-thought, where only a few exemplars with structured and defensive reasoning are provided as demonstrations. Empirically, the improvements can be astounding, especially given the simplicity and applicability of the method. For example, in the Natural Questions task, the accuracy of GPT-4o degrades from 60% to as low as 3% with standard prompting when 1 out of 10 references provided is corrupted with prompt injection attacks. In contrast, GPT-4o using chain-of-defensive-thought prompting maintains an accuracy of 50%.","2025-04-29","2026-01-17 20:45:30","2026-01-17 20:45:30","2026-01-17 20:45:30","","","","","","","Chain-of-Defensive-Thought","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2504.20769 [cs]","","/home/arthurbrito/Zotero/storage/XJDXDDUQ/Wang et al. - 2025 - Chain-of-Defensive-Thought Structured Reasoning Elicits Robustness in Large Language Models against.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Computation and Language; Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2504.20769","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LZILKQDC","preprint","2025","Chen, Yulin; Li, Haoran; Sui, Yuan; Liu, Yue; He, Yufei; Song, Yangqiu; Hooi, Bryan","Robustness via Referencing: Defending against Prompt Injection Attacks by Referencing the Executed Instruction","","","","10.48550/arXiv.2504.20472","http://arxiv.org/abs/2504.20472","Large language models (LLMs) have demonstrated impressive performance and have come to dominate the field of natural language processing (NLP) across various tasks. However, due to their strong instruction-following capabilities and inability to distinguish between instructions and data content, LLMs are vulnerable to prompt injection attacks. These attacks manipulate LLMs into deviating from the original input instructions and executing maliciously injected instructions within data content, such as web documents retrieved from search engines. Existing defense methods, including prompt-engineering and fine-tuning approaches, typically instruct models to follow the original input instructions while suppressing their tendencies to execute injected instructions. However, our experiments reveal that suppressing instruction-following tendencies is challenging. Through analyzing failure cases, we observe that although LLMs tend to respond to any recognized instructions, they are aware of which specific instructions they are executing and can correctly reference them within the original prompt. Motivated by these findings, we propose a novel defense method that leverages, rather than suppresses, the instruction-following abilities of LLMs. Our approach prompts LLMs to generate responses that include both answers and their corresponding instruction references. Based on these references, we filter out answers not associated with the original input instructions. Comprehensive experiments demonstrate that our method outperforms prompt-engineering baselines and achieves performance comparable to fine-tuning methods, reducing the attack success rate (ASR) to 0 percent in some scenarios. Moreover, our approach has minimal impact on overall utility.","2025-04-29","2026-01-17 20:45:30","2026-01-17 20:45:30","2026-01-17 20:45:30","","","","","","","Robustness via Referencing","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2504.20472 [cs]","","/home/arthurbrito/Zotero/storage/UHTGMPPM/Chen et al. - 2025 - Robustness via Referencing Defending against Prompt Injection Attacks by Referencing the Executed I.pdf","","","Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2504.20472","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FJPKYU6V","preprint","2025","Li, Xitao; Wang, Haijun; Wu, Jiang; Liu, Ting","Separator Injection Attack: Uncovering Dialogue Biases in Large Language Models Caused by Role Separators","","","","10.48550/arXiv.2504.05689","http://arxiv.org/abs/2504.05689","Conversational large language models (LLMs) have gained widespread attention due to their instruction-following capabilities. To ensure conversational LLMs follow instructions, role separators are employed to distinguish between different participants in a conversation. However, incorporating role separators introduces potential vulnerabilities. Misusing roles can lead to prompt injection attacks, which can easily misalign the model's behavior with the user's intentions, raising significant security concerns. Although various prompt injection attacks have been proposed, recent research has largely overlooked the impact of role separators on safety. This highlights the critical need to thoroughly understand the systemic weaknesses in dialogue systems caused by role separators. This paper identifies modeling weaknesses caused by role separators. Specifically, we observe a strong positional bias associated with role separators, which is inherent in the format of dialogue modeling and can be triggered by the insertion of role separators. We further develop the Separators Injection Attack (SIA), a new orthometric attack based on role separators. The experiment results show that SIA is efficient and extensive in manipulating model behavior with an average gain of 18.2% for manual methods and enhances the attack success rate to 100% with automatic methods.","2025-04-08","2026-01-17 20:45:30","2026-01-17 20:45:30","2026-01-17 20:45:30","","","","","","","Separator Injection Attack","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2504.05689 [cs]","","/home/arthurbrito/Zotero/storage/JEQ6KMYB/Li et al. - 2025 - Separator Injection Attack Uncovering Dialogue Biases in Large Language Models Caused by Role Separ.pdf","","","Computer Science - Computation and Language; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2504.05689","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WPUCVZIS","preprint","2025","Pathade, Chetan","Red Teaming the Mind of the Machine: A Systematic Evaluation of Prompt Injection and Jailbreak Vulnerabilities in LLMs","","","","10.48550/arXiv.2505.04806","http://arxiv.org/abs/2505.04806","Large Language Models (LLMs) are increasingly integrated into consumer and enterprise applications. Despite their capabilities, they remain susceptible to adversarial attacks such as prompt injection and jailbreaks that override alignment safeguards. This paper provides a systematic investigation of jailbreak strategies against various state-of-the-art LLMs. We categorize over 1,400 adversarial prompts, analyze their success against GPT-4, Claude 2, Mistral 7B, and Vicuna, and examine their generalizability and construction logic. We further propose layered mitigation strategies and recommend a hybrid red-teaming and sandboxing approach for robust LLM security.","2025-05-13","2026-01-17 20:45:30","2026-01-17 21:19:03","2026-01-17 20:45:30","","","","","","","Red Teaming the Mind of the Machine","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2505.04806 [cs]","Comment: 7 Pages, 6 Figures; Comment: 7 Pages, 6 Figures","/home/arthurbrito/Zotero/storage/WRDMBDZT/Pathade - 2025 - Red Teaming the Mind of the Machine A Systematic Evaluation of Prompt Injection and Jailbreak Vulne.pdf","","","Computer Science - Computation and Language; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2505.04806","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9GUGT2Q8","preprint","2025","Yao, Hongwei; Shi, Haoran; Chen, Yidou; Jiang, Yixin; Wang, Cong; Qin, Zhan","ControlNET: A Firewall for RAG-based LLM System","","","","10.48550/arXiv.2504.09593","http://arxiv.org/abs/2504.09593","Retrieval-Augmented Generation (RAG) has significantly enhanced the factual accuracy and domain adaptability of Large Language Models (LLMs). This advancement has enabled their widespread deployment across sensitive domains such as healthcare, finance, and enterprise applications. RAG mitigates hallucinations by integrating external knowledge, yet introduces privacy risk and security risk, notably data breaching risk and data poisoning risk. While recent studies have explored prompt injection and poisoning attacks, there remains a significant gap in comprehensive research on controlling inbound and outbound query flows to mitigate these threats. In this paper, we propose an AI firewall, ControlNET, designed to safeguard RAG-based LLM systems from these vulnerabilities. ControlNET controls query flows by leveraging activation shift phenomena to detect adversarial queries and mitigate their impact through semantic divergence. We conduct comprehensive experiments on four different benchmark datasets including Msmarco, HotpotQA, FinQA, and MedicalSys using state-of-the-art open source LLMs (Llama3, Vicuna, and Mistral). Our results demonstrate that ControlNET achieves over 0.909 AUROC in detecting and mitigating security threats while preserving system harmlessness. Overall, ControlNET offers an effective, robust, harmless defense mechanism, marking a significant advancement toward the secure deployment of RAG-based LLM systems.","2025-04-17","2026-01-17 20:45:30","2026-01-17 20:45:30","2026-01-17 20:45:30","","","","","","","ControlNET","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2504.09593 [cs]","Comment: Project Page: https://ai.zjuicsr.cn/firewall","/home/arthurbrito/Zotero/storage/SKGZ6NUZ/Yao et al. - 2025 - ControlNET A Firewall for RAG-based LLM System.pdf","","","Computer Science - Cryptography and Security; Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2504.09593","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3CIBF8WV","preprint","2025","Rao, Vishisht; Kumar, Aounon; Lakkaraju, Himabindu; Shah, Nihar B.","Detecting LLM-Generated Peer Reviews","","","","10.48550/arXiv.2503.15772","http://arxiv.org/abs/2503.15772","The integrity of peer review is fundamental to scientific progress, but the rise of large language models (LLMs) has introduced concerns that some reviewers may rely on these tools to generate reviews rather than writing them independently. Although some venues have banned LLM-assisted reviewing, enforcement remains difficult as existing detection tools cannot reliably distinguish between fully generated reviews and those merely polished with AI assistance. In this work, we address the challenge of detecting LLM-generated reviews. We consider the approach of performing indirect prompt injection via the paper's PDF, prompting the LLM to embed a covert watermark in the generated review, and subsequently testing for presence of the watermark in the review. We identify and address several pitfalls in naïve implementations of this approach. Our primary contribution is a rigorous watermarking and detection framework that offers strong statistical guarantees. Specifically, we introduce watermarking schemes and hypothesis tests that control the family-wise error rate across multiple reviews, achieving higher statistical power than standard corrections such as Bonferroni, while making no assumptions about the nature of human-written reviews. We explore multiple indirect prompt injection strategies--including font-based embedding and obfuscated prompts--and evaluate their effectiveness under various reviewer defense scenarios. Our experiments find high success rates in watermark embedding across various LLMs. We also empirically find that our approach is resilient to common reviewer defenses, and that the bounds on error rates in our statistical tests hold in practice. In contrast, we find that Bonferroni-style corrections are too conservative to be useful in this setting.","2025-05-19","2026-01-17 20:45:30","2026-01-17 20:45:30","2026-01-17 20:45:30","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2503.15772 [cs]","Comment: 27 pages, 2 figures","/home/arthurbrito/Zotero/storage/3T5I3ZK8/Rao et al. - 2025 - Detecting LLM-Generated Peer Reviews.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Cryptography and Security; Computer Science - Digital Libraries","","","","","","","","","","","","","","","","","","","arXiv:2503.15772","","","","","","","","","","","","","","","","","","","","","","","","","","",""
